country,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022
Saint Lucia,61448,49236,47340,143,30,11,19,40,52,98,48,56,54,99,61,66,35,40,7,105,81,33,22,41,34,34
Saint Pierre and Miquelon,22663,4146,7815,32,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,39789,27793,27260,127,7,8,9,21,16,10,23,41,29,65,30,24,13,10,2,16,30,17,11,7,13,63
Saint-Barthélemy,2469,484,416,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Martin,5616,1681,1548,24,2,5,3,2,4,3,3,2,1,1,9,3,2,1,0,0,4,0,1,2,2,0
San Marino,6122,596,725,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Saudi Arabia,191598434,7,0,7599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,19688983,2065,3755,77187,16,51,10,41,30,9,28,72,23,30,29,11,14,8,9,11,17,11,7,28,9,9
Serbia,7823140,2504393,2226082,76227,2348,1119,856,2610,1535,1869,2201,3190,2489,2447,2183,3330,2667,4250,2749,4553,3438,3843,3839,4859,3931,4357
Seychelles,20268,2882,3867,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0
Sierra Leone,7260136,3589286,3150653,102137,16583,13728,8022,3491,5812,24614,19766,19232,27669,7992,28830,13464,131503,117931,170307,130287,177136,140291,131366,114907,85505,91014
Singapore,69704,16769,18075,1977,40,116,17,32,77,53,71,35,171,42,71,88,24,171,133,132,232,259,264,154,189,97
Sint Maarten,3801,913,694,16,1,0,1,1,3,2,3,1,2,0,2,0,2,0,0,0,4,0,0,0,0,1
Slovakia,4909916,2298453,2251857,35797,3857,3975,3706,4577,27428,7962,9392,13338,11159,16990,11454,9077,4999,17185,5208,16814,14080,17575,10244,11850,6030,5132
Slovenia,1998091,1247111,1210201,7768,602,711,514,1245,1893,1217,2073,1818,1919,1416,1417,870,616,5354,1009,5355,4833,8188,3418,3847,2187,2776
Solomon Islands,2853324,2731814,2694518,4917,2186,3862,2372,3541,6545,5063,5660,8165,6028,6412,5854,8793,9440,16883,14929,17933,19724,17796,16522,14577,11972,14472
Somalia,63353850,15648,27803,4189,145,98,50,76,51,47,81,98,152,79,91,60,95,31,21,26,122,15,154,38,41,29
South Africa,121971019,3163002,3114824,388241,69583,43178,85098,65561,96011,94685,40788,73425,60692,55250,61287,72455,37710,45243,44015,46080,60122,40425,47814,39803,32887,24878
South Korea,10022830,4518887,4088546,109265,4194,3692,2754,9146,7001,7877,6534,11271,13864,12679,10443,14038,7676,11103,14550,18662,17266,17993,17474,16456,14238,21777
South Sudan,62809871,4111869,4603821,1082861,2705,3971,1049,4985,4724,3719,4810,4149,3819,2247,5441,3326,2604,4439,1866,3317,5334,2021,2671,1833,2145,2583
Spain,50604279,8099431,7564948,381024,27245,31062,19406,55930,40399,62755,53292,39289,58931,50391,35254,62064,49991,59532,51992,86291,74271,98600,57944,82572,68556,101445
Spratly Islands,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,6583727,3546043,3032495,60079,3535,3183,2996,4927,4383,7094,9175,6084,12669,6839,13558,13189,7095,10932,6913,15583,11845,11797,9444,10070,12108,7633
Sudan,187213492,1171,2624,216598,2,4,5,0,5,1,21,5,11,1,19,1,0,0,0,0,0,0,0,0,0,0
Suriname,14642557,13913267,13901630,23724,3675,3699,4469,5363,3495,3387,3609,7478,7295,6976,5683,19441,10170,14664,11879,16775,17943,18947,18396,15045,12226,14511
Svalbard and Jan Mayen,5442472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,1738333,199650,185227,23455,6228,3491,5360,4986,4246,8379,6104,4223,9899,5760,2155,3092,2448,3658,2257,3333,4363,1237,2713,1661,1764,1026
Sweden,45004558,24023218,25417471,1671285,142676,175486,91416,267899,244874,245600,180729,289328,206430,261750,203937,232296,192942,235974,210405,300643,320577,281341,323280,329764,323885,319884
Switzerland,4124550,1445309,1408058,15072,1139,864,421,3756,2297,2021,1828,2387,2245,1713,1925,1496,768,1464,758,1654,2493,3083,3470,3900,3409,1952
Syria,18691798,82138,80808,5711,234,127,97,92,709,252,1508,776,108,216,136,4699,1099,788,2067,1527,1770,769,994,2558,2238,387
São Tomé and Príncipe,100218,13223,13224,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,3640651,2249940,2132312,29315,1096,959,1083,1793,1470,1990,1671,2238,8098,2413,1426,1423,902,994,899,3118,2366,1750,1319,1328,1347,1355
Tajikistan,14211295,19343,6834,19712,50,27,24,14,20,12,8,21,24,7,13,15,1,0,0,0,0,0,0,0,0,0
Tanzania,94057691,9700637,8655854,557236,54939,55812,45465,41778,48323,44955,55732,89668,63256,82008,60903,79269,87219,93048,47944,69067,91001,76632,70506,78514,70617,70067
